ciudad;conglomerado;panelm;vivienda;hogar;periodo;mes;id_vivienda;id_consumo;Fecha;Id_persona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;10;1;2021;6;2903;202124015022101;6/1/2021;2021624015022101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;1;1;2021;3;2904;20212401501111;3/1/2021;202132401501111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;1;1;2021;6;2905;20212401501111;6/1/2021;202162401501111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;2;1;2021;6;2906;20212401501121;6/1/2021;202162401501121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;3;1;2021;3;2907;20212401501131;3/1/2021;202132401501131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;3;1;2021;6;2908;20212401501131;6/1/2021;202162401501131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;4;1;2021;3;2909;20212401501141;3/1/2021;202132401501141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;4;1;2021;6;2910;20212401501141;6/1/2021;202162401501141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;5;1;2021;3;2911;20212401501151;3/1/2021;202132401501151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;5;1;2021;6;2912;20212401501151;6/1/2021;202162401501151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;6;1;2021;3;2913;20212401501161;3/1/2021;202132401501161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;6;1;2021;6;2914;20212401501161;6/1/2021;202162401501161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;7;1;2021;3;2915;20212401501171;3/1/2021;202132401501171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;7;1;2021;6;2916;20212401501171;6/1/2021;202162401501171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;11;8;1;2021;3;2917;20212401501181;3/1/2021;202132401501181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;1;1;2021;9;2918;20212401502311;9/1/2021;202192401502311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;1;1;2021;12;2919;20212401502311;12/1/2021;2021122401502311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;2;1;2021;9;2920;20212401502321;9/1/2021;202192401502321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;2;1;2021;12;2921;20212401502321;12/1/2021;2021122401502321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;3;1;2021;9;2922;20212401502331;9/1/2021;202192401502331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;3;1;2021;12;2923;20212401502331;12/1/2021;2021122401502331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;4;1;2021;9;2924;20212401502341;9/1/2021;202192401502341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;4;1;2021;12;2925;20212401502341;12/1/2021;2021122401502341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;5;1;2021;9;2926;20212401502351;9/1/2021;202192401502351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;5;1;2021;12;2927;20212401502351;12/1/2021;2021122401502351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;6;1;2021;9;2928;20212401502361;9/1/2021;202192401502361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;7;1;2021;9;2929;20212401502371;9/1/2021;202192401502371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;7;1;2021;12;2930;20212401502371;12/1/2021;2021122401502371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;23;8;1;2021;12;2931;20212401502381;12/1/2021;2021122401502381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;1;1;2021;11;2932;2021240150611;11/1/2021;202111240150611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;2;1;2021;2;2933;2021240150621;2/1/2021;20212240150621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;2;1;2021;11;2934;2021240150621;11/1/2021;202111240150621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;3;1;2021;11;2935;2021240150631;11/1/2021;202111240150631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;4;1;2021;2;2936;2021240150641;2/1/2021;20212240150641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;4;1;2021;11;2937;2021240150641;11/1/2021;202111240150641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;5;1;2021;2;2938;2021240150651;2/1/2021;20212240150651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;6;1;2021;2;2939;2021240150661;2/1/2021;20212240150661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;6;1;2021;11;2940;2021240150661;11/1/2021;202111240150661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;7;1;2021;2;2943;2021240150671;2/1/2021;20212240150671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;7;1;2021;11;2944;2021240150671;11/1/2021;202111240150671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;8;1;2021;2;2945;2021240150681;2/1/2021;20212240150681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;9;1;2021;2;2946;2021240150691;2/1/2021;20212240150691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
